date,Brazil,Canada,China,France,Germany,India,Israel,Japan,Saudi Arabia,United Kingdom,United States
2006,7534.54250017952,41663.5123054377,3800.76579592591,35821.8719947773,36699.446781036,1008.6671374075,30605.1559987527,33531.5185630775,18203.7417820185,43711.1550172471,53596.3152372
2007,7909.82524736396,42106.8724267286,4319.03139751247,36464.9592682158,37842.3577913563,1070.13153814137,31880.3450537383,33990.0360341685,17825.6412984903,44508.6057952919,54152.8292651299
2008,8231.10037274506,42067.5686998623,4711.64344921263,36354.6586641081,38278.3130082531,1087.58303554405,32337.1977109655,33557.6454041531,18223.6736037842,44060.0030980603,53703.9628961267
2009,8142.76104834465,40376.4153677037,5128.90412774381,35129.3622360858,36190.3928860698,1156.88066592664,31852.2671973223,31651.0837739853,17192.6816215925,41709.9661677375,51863.6183411923
2010,8673.89838344205,41164.3399062659,5647.06872713954,35638.1215603451,37760.9136283996,1238.01472672193,33048.5545890362,32942.2020783725,17489.2292685608,42310.749912752,52821.4047643404
2011,8935.27731401951,42043.6419607016,6152.69687271855,36244.1871625918,39977.3417095357,1285.28304898271,34247.623280715,33011.13423011,18936.1559554015,42462.1067349807,53259.2552138539
2012,9025.31399621852,42320.6431282192,6591.66249405644,36182.1511275816,40069.3539560742,1337.47611073826,34491.1601071181,33518.444936892,19526.1095223715,42805.8425172666,54080.2286497215
2013,9216.13227969168,42851.1705330235,7056.42309152349,36203.1908693774,40135.0158319837,1404.54534647065,35348.3068537152,34239.8862473683,19600.7238416633,43282.2097513788,54844.2425797154
2014,9183.4597265639,43643.2356474848,7532.78530130172,36378.6186614699,40851.1617304855,1490.02850762963,36035.2577522884,34386.905855287,19940.4831412099,44337.6786402733,55817.5632471958
2015,8783.2154236384,43594.1941045394,8016.44559489998,36652.9223052178,41103.2564363768,1590.17433134297,36206.5222171621,34960.6393843385,20442.3625620084,44964.3911437292,57040.2082136605
2016,8426.84322068885,43551.3426018259,8516.52874235572,36956.7958003293,41682.0322433511,1701.18423764708,37109.0218162488,35242.1993771881,20412.2317972204,45482.1782886254,57658.6708825722
